"event_id","previous_event_id"
116,233
227,219
314,311
303,296
229,255
293,229
231,258
233,252
234,37
322,336
310,309
320,319
235,249
296,59
238,212
239,227
318,269
240,116
332,323
245,234
246,231
297,298
248,246
249,151
302,303
287,279
251,245
252,248
315,314
253,32
29,253
317,316
255,238
32,280
258,263
311,310
151,29
37,154
299,60
298,276
263,271
154,239
319,317
266,251
212,266
304,306
295,273
336,332
269,299
270,335
323,321
271,270
59,294
309,308
273,297
219,235
305,304
321,320
294,287
276,318
277,293
60,277
316,315
308,305
306,302
279,295
280,240
